class,side,last_sighting,azimuth,missing,sightings,location
speedLimit45,right,Sat Apr 04 0020 09:36:37 GMT-0400 (EDT),270.0692529,TRUE,1,"27.99677186437014,-81.96895450425916"
speedLimit45,right,Sat Apr 04 0020 09:36:08 GMT-0400 (EDT),269.2011847,TRUE,4,"27.99677618223182,-81.96149157284152"
rightLaneMustTurn,right,Sun Apr 12 0020 19:01:58 GMT-0400 (EDT),179.6907646,TRUE,1,"28.003944866773345,-81.95707934610576"
rightLaneMustTurn,right,Sun Apr 12 0020 19:05:01 GMT-0400 (EDT),5.897667082,FALSE,1,"27.998485974769405,-81.97498478582716"
merge,right,Sun Apr 12 0020 19:31:56 GMT-0400 (EDT),94.01961223,FALSE,2,"27.995832708730443,-81.9761846777995"
rightLaneMustTurn,right,Sun Apr 12 0020 19:31:31 GMT-0400 (EDT),95.93102943,FALSE,1,"27.99621414474419,-81.98096884235709"
rightLaneMustTurn,right,Sun Apr 12 0020 19:32:06 GMT-0400 (EDT),189.2808444,FALSE,1,"27.994693939940284,-81.97609862777776"
rightLaneMustTurn,right,Sun Apr 12 0020 19:31:10 GMT-0400 (EDT),93.05979911,FALSE,1,"27.996680560856003,-81.98623942104737"
rightLaneMustTurn,right,Sun Apr 12 0020 19:07:06 GMT-0400 (EDT),85.49,FALSE,1,"28.011251,-81.96517000000001"
rightLaneMustTurn,right,Sun Apr 12 0020 19:07:18 GMT-0400 (EDT),86.41316845,FALSE,1,"28.011319084379018,-81.96288427154005"
speedLimit45,right,Sun Apr 12 0020 19:28:03 GMT-0400 (EDT),181.8890833,FALSE,1,"28.003236187654004,-82.01839979473716"
rightLaneMustTurn,right,Sat Apr 04 0020 09:37:11 GMT-0400 (EDT),4.801215834,FALSE,1,"27.997954743785563,-81.97502887541765"
signalAhead,right,Sat Apr 04 0020 09:36:19 GMT-0400 (EDT),270.033348,FALSE,1,"27.99677349129478,-81.96405919284518"
signalAhead,right,Sat Apr 04 0020 09:36:22 GMT-0400 (EDT),269.9532667,FALSE,1,"27.99677123400695,-81.96491407130362"
signalAhead,right,Sat Apr 04 0020 09:36:58 GMT-0400 (EDT),276.85,FALSE,1,"27.996895,-81.97415"
stop,right,Sat Apr 04 0020 09:36:38 GMT-0400 (EDT),269.7833373,FALSE,1,"27.99677002059083,-81.96931037280605"
speedLimit25,right,Sat Apr 04 0020 09:40:17 GMT-0400 (EDT),359.7126886,FALSE,1,"28.011953404561545,-81.96320003694002"
school,right,Sat Apr 04 0020 09:40:22 GMT-0400 (EDT),345.1434203,FALSE,1,"28.012532447833077,-81.96320617560767"
pedestrianCrossing,right,Sun Apr 12 0020 19:33:06 GMT-0400 (EDT),180.3897551,FALSE,1,"27.983363865603227,-81.97331087392696"
rightLaneMustTurn,right,Sun Apr 12 0020 19:32:11 GMT-0400 (EDT),186.6490857,FALSE,1,"27.993887310293754,-81.97624436499746"
rightLaneMustTurn,right,Sun Apr 12 0020 19:32:13 GMT-0400 (EDT),183.0229213,FALSE,1,"27.993545143425166,-81.97627820573086"
keepRight,right,Sun Apr 12 0020 19:02:24 GMT-0400 (EDT),182.094303,FALSE,1,"28.00023233428879,-81.95713103098069"
rightLaneMustTurn,right,Sun Apr 12 0020 19:02:21 GMT-0400 (EDT),182.36,FALSE,1,"28.00066,-81.95711000000001"
schoolSpeedLimit25,right,Sun Apr 12 0020 19:29:25 GMT-0400 (EDT),89.57797858,FALSE,1,"27.996578498664185,-82.0093350741363"
